protocol_type,service,src_bytes,dst_bytes,count,srv_count,dst_host_count,dst_host_srv_count,attack_type
udp,private,28,0,80,80,255,80,teardrop
tcp,http,255,861,44,44,255,255,normal
tcp,ftp_data,334,0,2,2,4,38,warezclient
tcp,ftp_data,0,0,258,17,255,5,neptune
tcp,http,302,498,10,10,131,255,normal
tcp,private,0,0,61,4,255,4,neptune
udp,private,28,0,2,2,255,2,teardrop
tcp,http,220,1398,26,42,26,255,normal
udp,domain_u,43,69,120,120,255,245,normal
udp,domain_u,44,133,73,75,122,212,normal
icmp,eco_i,8,0,1,15,2,46,nmap
tcp,uucp,0,0,135,9,255,11,neptune
tcp,finger,0,0,24,12,255,59,neptune
udp,domain_u,43,43,148,228,255,255,normal
tcp,ftp_data,641,0,2,2,175,48,normal
tcp,private,0,0,206,4,255,4,neptune
tcp,private,0,0,175,1,255,1,satan
tcp,http,310,2794,4,4,255,255,normal
tcp,private,0,0,63,10,255,10,neptune
tcp,smtp,696,333,1,1,109,133,normal
tcp,netbios_dgm,0,0,1,1,236,1,portsweep
tcp,http,0,0,52,19,255,67,neptune
tcp,netbios_dgm,0,0,125,7,255,6,neptune
tcp,supdup,0,0,168,21,255,21,neptune
tcp,http,221,2878,1,1,21,58,normal
tcp,private,0,0,145,16,255,31,neptune
icmp,urp_i,181,0,3,2,255,93,normal
udp,domain_u,42,42,9,14,84,83,normal
tcp,private,0,0,138,6,255,6,neptune
tcp,ftp_data,12,0,1,1,44,47,normal
tcp,auth,0,0,276,9,255,9,neptune
tcp,http,210,2790,10,27,48,255,normal
tcp,http,321,5683,10,10,168,255,normal
tcp,private,0,0,248,8,255,8,neptune
tcp,http,329,3982,2,31,24,255,normal
tcp,uucp_path,0,0,135,7,255,7,neptune
tcp,domain,0,0,220,19,255,2,neptune
icmp,eco_i,8,0,1,44,1,95,ipsweep
tcp,http,320,379,9,9,123,255,normal
tcp,private,0,0,212,7,72,7,neptune
tcp,http,225,3762,10,10,255,255,normal
tcp,ftp,0,0,250,13,255,1,neptune
tcp,private,0,0,132,15,255,15,neptune
udp,other,146,105,3,2,117,2,normal
tcp,http,247,1416,11,11,156,255,normal
tcp,http,353,1483,3,9,255,255,normal
udp,domain_u,44,44,109,189,255,254,normal
tcp,private,0,0,146,18,255,10,neptune
tcp,csnet_ns,0,0,300,6,255,3,neptune
tcp,smtp,3065,331,1,2,243,119,normal
udp,other,102,102,1,1,7,1,normal
tcp,http,259,750,4,5,4,255,normal
udp,other,147,105,2,2,255,2,normal
tcp,private,0,0,129,16,255,12,neptune
tcp,http,0,354,32,32,255,255,normal
tcp,http,309,306,1,1,66,255,normal
tcp,http,0,0,1,2,1,247,normal
tcp,http,278,7227,3,3,153,255,normal
udp,private,28,0,82,82,255,182,teardrop
tcp,http,313,761,1,1,43,255,normal
tcp,http,219,1212,15,15,242,255,normal
tcp,http,245,9165,2,3,10,255,normal
tcp,http,328,2243,21,21,21,255,normal
tcp,http,0,0,1,1,23,249,normal
tcp,http,251,301,3,7,255,252,normal
tcp,smtp,2089,335,2,2,255,152,normal
tcp,http,0,0,1,1,6,255,normal
tcp,http,237,511,1,1,3,255,normal
tcp,http,324,431,4,5,107,255,normal
tcp,private,1,0,2,2,255,2,portsweep
tcp,Z39_50,0,0,110,17,255,17,neptune
udp,private,105,145,4,1,255,239,normal
tcp,http,218,974,6,6,6,255,normal
tcp,http,325,2649,7,7,107,255,normal
tcp,uucp_path,0,0,246,20,255,20,neptune
tcp,bgp,0,0,272,19,255,19,neptune
tcp,csnet_ns,0,0,259,8,255,8,neptune
tcp,http,328,275,9,10,255,250,normal
tcp,bgp,0,0,294,6,255,8,neptune
tcp,finger,9,138,1,1,195,10,normal
udp,domain_u,46,46,96,178,255,254,normal
tcp,smtp,1079,334,1,1,138,167,normal
udp,domain_u,45,139,79,159,255,254,normal
tcp,ftp,273,903,1,1,176,49,normal
tcp,private,0,0,190,20,255,20,neptune
tcp,ldap,0,0,135,5,255,1,neptune
tcp,http,237,138,2,2,2,2,normal
tcp,http,225,1357,1,1,5,255,normal
tcp,private,0,0,123,7,255,7,neptune
tcp,supdup,0,0,245,20,255,7,neptune
udp,other,147,0,3,1,255,1,normal
tcp,http,262,1011,3,4,94,255,normal
icmp,ecr_i,1032,0,263,263,255,255,smurf
tcp,private,0,0,109,13,255,7,neptune
tcp,http,261,8412,9,9,255,255,normal
tcp,bgp,0,0,145,8,255,8,neptune
tcp,netbios_dgm,0,0,250,2,255,2,neptune
tcp,http,294,1719,8,8,108,255,normal
tcp,http,221,981,2,3,50,82,normal
tcp,http,284,10352,2,2,11,255,normal
tcp,gopher,0,0,1,1,255,1,nmap
tcp,http,309,16096,3,3,31,129,normal
tcp,ftp_data,334,0,2,2,6,26,warezclient
tcp,telnet,0,0,13,4,255,64,neptune
tcp,private,0,0,87,1,255,1,neptune
tcp,http,214,283,2,2,27,255,normal
tcp,vmnet,0,0,292,13,255,14,neptune
tcp,systat,0,0,295,18,255,1,neptune
tcp,http_443,0,0,143,15,255,15,neptune
udp,domain_u,46,78,278,277,255,254,normal
tcp,ftp_data,748,0,1,1,6,92,normal
tcp,efs,0,0,102,19,255,18,neptune
icmp,eco_i,8,0,1,46,1,15,ipsweep
tcp,whois,0,0,251,3,255,3,neptune
tcp,http,329,8437,4,4,83,255,normal
tcp,ftp_data,9,0,2,2,185,119,normal
udp,domain_u,46,128,222,302,255,253,normal
tcp,ftp_data,1766,0,2,2,255,6,normal
tcp,remote_job,0,0,260,4,255,4,neptune
tcp,other,1,0,2,2,255,2,portsweep
tcp,finger,8,135,1,1,196,6,normal
tcp,http,266,529,1,6,94,255,normal
tcp,ftp_data,245,0,3,2,99,68,normal
tcp,http,295,465,11,12,69,255,normal
tcp,gopher,0,0,44,12,255,12,neptune
tcp,http,228,6834,2,7,18,19,normal
icmp,ecr_i,1032,0,511,511,255,212,smurf
tcp,imap4,0,0,272,15,255,15,neptune
tcp,private,0,0,122,19,255,19,neptune
tcp,whois,0,0,287,3,255,3,neptune
tcp,http,0,0,1,3,118,195,normal
tcp,other,0,0,486,1,255,1,satan
udp,other,1,0,22,6,255,6,satan
tcp,iso_tsap,0,0,286,9,255,11,neptune
icmp,ecr_i,30,0,1,1,247,247,normal
tcp,smtp,2078,333,1,2,89,117,normal
tcp,ftp_data,19,0,1,1,201,5,normal
tcp,smtp,661,329,1,1,163,69,normal
udp,private,28,0,35,34,255,34,teardrop
tcp,ftp_data,0,0,28,2,255,42,neptune
tcp,private,0,0,108,18,255,18,neptune
tcp,private,0,0,101,5,255,15,neptune
tcp,smtp,1075,364,1,2,255,100,normal
tcp,http,223,656,12,21,172,255,normal
tcp,ftp,350,1185,1,2,255,142,warezclient
tcp,http,233,2470,10,10,32,255,normal
tcp,private,0,0,223,10,255,9,neptune
tcp,echo,0,0,223,17,255,17,neptune
tcp,http,201,1938,19,34,44,255,normal
tcp,http,271,4781,4,7,11,28,normal
tcp,ftp_data,14416,0,1,1,205,50,normal
tcp,http,227,11564,5,6,41,52,normal
tcp,private,0,0,406,1,255,1,portsweep
tcp,http,225,2445,4,5,255,255,normal
tcp,http,176,426,6,6,255,255,normal
tcp,klogin,0,0,143,14,255,14,neptune
tcp,http,227,762,17,17,202,255,normal
tcp,smtp,855,575,1,1,255,20,normal
tcp,smtp,944,330,1,1,214,166,normal
tcp,smtp,954,326,2,1,28,104,normal
tcp,uucp_path,0,0,201,18,255,18,neptune
tcp,http,166,34660,1,1,16,255,normal
tcp,http,306,2698,4,5,255,240,normal
tcp,netbios_ns,0,0,124,19,255,19,neptune
tcp,private,0,0,162,1,255,1,satan
icmp,ecr_i,1480,0,2,4,2,38,pod
tcp,iso_tsap,0,0,277,17,255,17,neptune
tcp,http,313,8549,4,4,255,255,normal
tcp,link,0,0,274,22,255,22,neptune
tcp,sunrpc,0,0,141,12,255,16,neptune
tcp,http,285,6008,3,3,128,255,normal
tcp,http,226,1411,8,23,37,255,normal
tcp,http,256,12984,1,1,34,255,normal
tcp,smtp,3740,449,1,3,193,185,normal
tcp,http,224,449,10,11,39,255,normal
tcp,login,0,0,103,3,255,3,neptune
tcp,ftp_data,832,0,1,1,3,28,warezclient
tcp,finger,0,0,246,20,255,20,neptune
icmp,eco_i,8,0,1,50,1,25,ipsweep
tcp,http,201,169,7,7,29,255,normal
tcp,http,285,304,32,34,101,255,normal
tcp,kshell,0,0,125,24,255,24,neptune
tcp,ftp_data,7422,0,8,8,255,44,normal
tcp,http,198,12884,2,2,2,2,normal
tcp,smtp,2310,328,1,3,255,157,normal
tcp,http,331,955,6,6,38,255,normal
icmp,urp_i,65,0,9,2,255,16,normal
udp,private,28,0,4,4,255,71,teardrop
udp,domain_u,45,77,171,173,255,232,normal
tcp,ftp,0,0,250,3,255,3,neptune
tcp,auth,0,0,238,7,255,7,neptune
tcp,kshell,0,0,102,2,255,2,neptune
tcp,finger,9,142,1,1,235,12,normal
tcp,http,283,912,2,2,75,255,normal
tcp,http,221,1789,2,10,73,255,normal
icmp,eco_i,18,0,1,1,1,123,ipsweep
tcp,vmnet,0,0,281,2,255,3,neptune
tcp,telnet,0,0,30,2,255,52,neptune
tcp,ftp_data,0,0,276,8,255,8,neptune
tcp,http,302,1380,5,5,212,187,normal
tcp,private,0,0,163,9,255,9,neptune
icmp,eco_i,8,0,1,21,2,60,ipsweep
tcp,private,0,0,301,20,255,19,neptune
tcp,http,355,870,28,28,255,255,normal
icmp,eco_i,8,0,1,23,1,63,ipsweep
tcp,telnet,106,1468,1,1,117,1,normal
tcp,http,286,1423,16,16,64,255,normal
tcp,other,1,0,2,2,255,2,portsweep
tcp,sql_net,0,0,1,1,255,1,nmap
icmp,ecr_i,1032,0,46,46,255,46,smurf
tcp,http,168,9551,1,2,230,255,normal
tcp,http,238,864,39,39,137,255,normal
tcp,private,0,0,1,1,255,1,portsweep
tcp,http,291,10369,6,6,13,255,normal
tcp,vmnet,0,0,211,22,255,22,neptune
tcp,smtp,749,330,1,1,27,129,normal
tcp,http,198,6924,12,12,230,255,normal
tcp,mtp,0,0,280,11,255,11,neptune
tcp,http,167,709,1,4,5,255,normal
tcp,http,241,851,17,35,127,255,normal
tcp,http,337,3360,6,6,255,255,normal
tcp,smtp,729,328,1,1,106,156,normal
icmp,eco_i,8,0,1,44,1,111,ipsweep
tcp,csnet_ns,0,0,201,1,255,4,neptune
tcp,http,222,1483,3,3,255,255,normal
tcp,auth,0,0,276,14,255,14,neptune
tcp,http,0,0,1,1,7,255,normal
udp,domain_u,46,134,145,225,255,255,normal
tcp,http,246,2719,1,1,1,255,normal
tcp,http,222,771,8,8,45,255,normal
tcp,vmnet,0,0,258,10,255,10,neptune
tcp,private,0,0,256,12,255,10,neptune
tcp,telnet,279,9598,1,1,251,113,normal
tcp,http,226,651,12,12,255,255,normal
tcp,http,299,447,26,44,255,255,normal
tcp,http,0,0,14,6,94,26,neptune
tcp,ftp_data,12,0,2,2,11,88,normal
tcp,http,281,1951,30,31,77,255,normal
tcp,bgp,0,0,138,25,255,25,neptune
udp,domain_u,42,42,4,6,255,245,normal
tcp,ftp,0,0,300,7,255,7,neptune
tcp,time,0,0,199,9,255,9,neptune
tcp,http,263,453,15,15,255,255,normal
tcp,private,1,0,2,2,255,2,portsweep
tcp,ftp,0,0,1,1,212,43,normal
tcp,private,0,0,144,15,255,30,neptune
tcp,sql_net,0,0,104,4,255,18,neptune
tcp,http,283,1980,18,18,18,255,normal
tcp,http,161,5530,2,2,2,255,normal
tcp,http,211,321,7,11,211,255,normal
tcp,http,201,1701,7,7,32,255,normal
icmp,eco_i,8,0,1,25,4,112,nmap
udp,other,147,0,3,1,255,1,normal
tcp,private,0,0,74,16,255,5,neptune
tcp,ftp_data,567,0,1,1,53,38,normal
tcp,hostnames,0,0,225,2,255,2,neptune
tcp,telnet,0,0,66,16,255,52,neptune
tcp,ftp_data,5131424,0,1,7,7,42,warezclient
tcp,http,320,420,7,7,255,255,normal
icmp,eco_i,8,0,1,35,1,61,ipsweep
tcp,smtp,0,0,2,2,160,101,normal
tcp,http,204,1229,4,4,54,255,normal
tcp,time,0,0,1,1,255,1,portsweep
tcp,ftp_data,10389,0,1,1,255,81,normal
tcp,uucp,0,0,139,13,255,13,neptune
tcp,http,344,573,28,60,255,255,normal
tcp,exec,0,0,144,16,255,9,neptune
tcp,netbios_dgm,0,0,241,19,255,19,neptune
tcp,http,243,821,15,19,107,255,normal
icmp,ecr_i,1032,0,213,213,255,255,smurf
icmp,eco_i,8,0,1,45,1,11,ipsweep
tcp,private,0,0,36,1,255,1,satan
udp,private,105,146,3,2,255,239,normal
tcp,private,0,0,254,17,255,17,neptune
tcp,smtp,1080,327,1,2,202,154,normal
tcp,telnet,0,0,295,7,255,7,neptune
tcp,private,0,0,171,3,255,14,neptune
tcp,Z39_50,0,0,179,2,255,5,neptune
tcp,smtp,657,326,2,1,255,11,normal
tcp,http_443,0,0,101,7,255,3,neptune
tcp,http,284,765,9,9,255,255,normal
tcp,http,261,15455,22,22,255,255,normal
tcp,http,317,315,1,2,255,255,normal
udp,domain_u,33,0,8,8,255,36,normal
tcp,private,0,0,2,1,255,1,portsweep
tcp,private,0,0,1,1,255,1,portsweep
udp,domain_u,44,70,195,197,255,234,normal
tcp,http,215,584,4,9,255,255,normal
tcp,private,0,0,260,9,255,7,neptune
tcp,http,332,2844,14,14,142,255,normal
tcp,smtp,978,334,1,3,128,164,normal
tcp,http,296,5670,10,10,69,255,normal
tcp,telnet,0,0,125,13,255,8,neptune
tcp,private,0,0,139,10,255,6,neptune
tcp,http,214,9986,10,11,66,255,normal
tcp,private,0,0,251,7,255,2,neptune
udp,ntp_u,48,48,1,1,42,23,normal
tcp,http,226,1301,5,5,14,255,normal
tcp,bgp,0,0,211,17,255,12,neptune
icmp,urp_i,78,0,20,8,255,16,normal
tcp,private,0,0,208,2,255,5,neptune
tcp,http,0,0,1,1,8,38,normal
tcp,discard,0,0,268,19,255,19,neptune
tcp,private,0,0,1,1,37,2,ipsweep
tcp,private,0,0,2,1,255,1,portsweep
tcp,http,294,3327,1,19,57,255,normal
tcp,supdup,0,0,286,3,255,3,neptune
tcp,http,220,1249,7,7,159,255,normal
tcp,other,0,0,425,1,255,1,satan
tcp,http,196,3282,8,9,255,255,normal
tcp,http,0,0,272,30,255,13,neptune
tcp,http,327,4482,4,8,58,255,normal
tcp,uucp_path,0,0,241,3,255,3,neptune
tcp,ftp_data,319,0,2,2,6,2,normal
tcp,smtp,1087,302,1,1,246,64,normal
tcp,http,210,3754,18,18,62,255,normal
tcp,sql_net,0,0,125,19,255,18,neptune
tcp,http,0,0,1,1,12,255,normal
tcp,http,234,6282,6,6,106,255,normal
icmp,eco_i,8,0,1,18,2,255,ipsweep
tcp,http,54540,8314,1,1,251,251,back
tcp,http,237,1461,3,3,59,255,normal
tcp,ftp_data,0,0,42,10,124,62,neptune
tcp,private,0,0,274,10,255,10,neptune
tcp,http,200,955,3,3,250,255,normal
tcp,http,219,657,7,9,28,255,normal
tcp,http,284,5921,1,1,49,255,normal
tcp,nntp,0,0,196,12,255,12,neptune
tcp,http,325,426,5,5,187,255,normal
tcp,courier,0,0,111,6,255,6,neptune
icmp,eco_i,30,0,1,1,247,247,normal
tcp,http,335,7902,1,8,1,255,normal
udp,domain_u,36,0,2,4,67,171,normal
tcp,private,0,0,168,3,255,3,neptune
udp,domain_u,43,43,122,188,255,255,normal
tcp,courier,0,0,108,8,255,8,neptune
tcp,http,0,0,1,1,6,55,normal
tcp,private,0,0,36,12,255,12,neptune
tcp,private,0,0,143,19,255,4,neptune
tcp,http,216,1956,1,21,12,255,normal
tcp,uucp,0,0,132,8,255,8,neptune
udp,domain_u,44,78,139,139,255,166,normal
tcp,http,347,8113,7,7,255,255,normal
tcp,smtp,570,280,1,1,126,104,normal
tcp,http,219,17540,8,8,36,255,normal
udp,other,146,0,3,1,255,1,normal
tcp,ftp,0,0,222,1,255,1,neptune
tcp,private,0,0,260,8,120,8,neptune
tcp,private,0,0,237,15,255,1,neptune
tcp,private,0,0,132,15,255,16,neptune
tcp,private,1,0,2,2,255,2,portsweep
tcp,private,0,0,57,11,255,11,neptune
icmp,eco_i,18,0,1,1,4,200,ipsweep
tcp,time,0,4,1,1,25,25,normal
tcp,http,233,581,13,26,255,255,normal
tcp,finger,0,0,257,19,255,19,neptune
tcp,ftp_data,276,0,1,1,76,24,normal
udp,domain_u,44,139,77,157,255,242,normal
icmp,eco_i,8,0,1,27,1,41,ipsweep
tcp,telnet,1828,148722,1,1,51,7,normal
tcp,http,200,764,2,12,23,255,normal
udp,domain_u,46,46,11,20,255,255,normal
tcp,private,0,0,257,19,255,2,neptune
tcp,telnet,0,0,13,13,135,75,neptune
tcp,http,216,5284,9,9,123,255,normal
tcp,exec,0,0,137,9,255,4,neptune
tcp,http,234,997,28,28,255,255,normal
tcp,http,220,1643,12,25,25,255,normal
tcp,login,0,0,132,3,255,14,neptune
udp,private,105,146,7,1,255,226,normal
tcp,http,0,0,1,1,12,255,normal
tcp,Z39_50,0,0,290,16,255,11,neptune
tcp,private,0,0,203,2,255,9,neptune
tcp,private,0,0,290,8,255,9,neptune
tcp,http,288,2881,14,16,14,255,normal
tcp,uucp,0,0,116,3,255,3,neptune
tcp,private,0,0,260,6,255,5,neptune
udp,private,1,0,12,1,255,24,satan
udp,private,28,0,21,21,255,21,teardrop
tcp,http,279,494,2,2,255,255,normal
icmp,ecr_i,1032,0,486,486,255,255,smurf
tcp,ftp_data,192,0,2,3,255,115,normal
tcp,telnet,105,1401,1,1,84,1,normal
tcp,private,0,0,1,1,27,2,ipsweep
tcp,smtp,1330,282,1,1,255,142,normal
icmp,ecr_i,520,0,457,457,153,153,smurf
tcp,ftp_data,0,0,47,4,255,64,neptune
tcp,http,230,362,10,18,121,255,normal
udp,domain_u,44,110,71,151,255,255,normal
tcp,http,271,3582,12,12,12,255,normal
tcp,http,179,1668,6,6,52,255,normal
tcp,ftp_data,852,0,6,6,219,39,normal
tcp,http,222,310,5,13,170,255,normal
tcp,http,314,4137,7,7,255,255,normal
tcp,login,0,0,139,10,255,10,neptune
tcp,http,230,6880,1,17,24,255,normal
tcp,whois,0,0,200,6,255,6,neptune
tcp,ctf,0,0,140,1,255,1,neptune
tcp,smtp,857,327,1,1,173,132,normal
tcp,http,234,1707,9,9,9,255,normal
icmp,ecr_i,1032,0,511,511,255,200,smurf
udp,private,28,0,68,68,255,68,teardrop
tcp,private,0,0,132,7,255,7,neptune
tcp,http,215,6367,9,9,255,255,normal
udp,domain_u,46,46,215,215,255,250,normal
udp,private,105,146,1,1,229,217,normal
tcp,private,0,0,115,18,255,18,neptune
tcp,private,0,0,35,16,255,16,neptune
tcp,csnet_ns,0,0,275,15,255,15,neptune
tcp,http,305,2507,4,4,255,239,normal
tcp,private,0,0,76,13,255,13,neptune
tcp,http,336,15767,12,12,95,255,normal
tcp,csnet_ns,0,0,202,2,255,8,neptune
tcp,private,0,0,252,14,255,13,neptune
udp,other,147,105,1,1,255,3,normal
tcp,http,335,1212,3,3,7,255,normal
tcp,telnet,0,0,74,17,255,58,neptune
tcp,http,339,241,1,1,68,255,normal
tcp,http,317,3245,4,4,251,255,normal
tcp,private,0,0,116,19,255,15,neptune
tcp,http,54540,8314,2,2,79,79,back
tcp,vmnet,0,0,197,2,255,2,neptune
udp,domain_u,42,131,80,160,255,254,normal
tcp,smtp,986,368,1,1,76,169,normal
tcp,private,0,0,198,4,255,4,neptune
icmp,urp_i,183,0,4,4,255,37,normal
tcp,private,0,0,102,3,255,1,neptune
tcp,http,405,23786,1,1,9,255,normal
tcp,link,0,0,223,21,255,21,neptune
tcp,smtp,785,327,1,1,50,70,normal
tcp,http,258,4302,1,1,31,34,normal
tcp,login,0,0,138,6,255,6,neptune
icmp,eco_i,8,0,1,28,1,35,ipsweep
tcp,http,318,2649,5,5,5,255,normal
tcp,private,0,0,154,1,255,1,neptune
tcp,ssh,0,0,204,18,255,18,neptune
tcp,time,0,0,262,4,255,4,neptune
tcp,http,216,1240,8,8,255,255,normal
tcp,private,0,0,25,2,195,2,portsweep
tcp,http,291,320,3,3,55,255,normal
tcp,http,224,546,21,21,21,255,normal
tcp,ftp_data,0,0,459,5,255,4,satan
tcp,domain,0,0,253,1,255,1,neptune
udp,domain_u,17,42,1,1,255,224,normal
tcp,private,0,0,142,15,255,8,neptune
udp,domain_u,29,29,1,3,255,253,normal
udp,private,105,147,1,1,155,143,normal
icmp,eco_i,30,0,12,1,255,3,normal
tcp,http,325,12884,5,9,72,72,normal
tcp,login,0,0,139,20,255,20,neptune
tcp,http,0,0,1,1,19,192,normal
tcp,ftp_data,12,0,1,2,75,65,normal
tcp,http,212,828,9,9,94,255,normal
tcp,http,240,1475,12,12,255,255,normal
tcp,http,292,13206,5,5,5,255,normal
tcp,http,172,12793,1,2,255,255,normal
tcp,private,0,0,196,9,255,20,neptune
tcp,http,310,788,3,3,255,255,normal
udp,domain_u,44,128,4,84,255,205,normal
udp,other,145,0,3,1,255,1,normal
tcp,ftp,1238,2451,1,1,255,123,warezclient
icmp,eco_i,8,0,1,7,1,59,ipsweep
udp,domain_u,45,45,167,167,255,254,normal
tcp,private,0,0,2,1,255,1,portsweep
tcp,smtp,1551,362,1,2,3,135,normal
tcp,smtp,1308,328,1,1,2,14,normal
tcp,http,356,1125,3,3,36,255,normal
tcp,http,364,6914,13,13,255,255,normal
tcp,http,331,776,10,14,255,255,normal
icmp,eco_i,30,0,2,1,255,28,normal
tcp,private,0,0,262,7,255,14,neptune
tcp,exec,0,0,103,17,255,17,neptune
tcp,http,247,7546,14,14,143,255,normal
tcp,http,300,1841,43,43,43,255,normal
tcp,mtp,0,0,221,16,255,17,neptune
tcp,http,355,2109,5,26,29,255,normal
tcp,finger,0,0,33,14,255,14,neptune
tcp,http,316,1260,3,9,255,255,normal
udp,domain_u,44,136,224,300,255,253,normal
tcp,ftp,1458,4152,1,1,158,40,normal
tcp,uucp_path,0,0,221,14,255,14,neptune
udp,other,146,105,4,2,255,2,normal
tcp,private,0,0,1,1,255,1,portsweep
tcp,Z39_50,0,0,284,14,255,14,neptune
udp,private,1,0,2,2,255,2,satan
tcp,telnet,0,0,150,16,255,1,neptune
tcp,imap4,0,0,255,9,255,9,neptune
udp,other,146,105,5,2,255,2,normal
tcp,private,0,0,26,2,255,12,neptune
tcp,smtp,13794,2966,2,2,170,96,normal
tcp,finger,0,0,74,20,255,58,neptune
tcp,smtp,911,325,2,1,18,161,normal
tcp,smtp,0,0,7,9,29,141,neptune
tcp,http,280,3332,2,2,10,255,normal
tcp,daytime,0,0,235,4,255,4,neptune
tcp,private,0,0,131,20,255,18,neptune
udp,domain_u,41,41,100,166,255,255,normal
tcp,finger,10,139,1,1,126,5,normal
tcp,http,311,488,11,11,104,255,normal
tcp,http,281,1745,2,2,39,255,normal
tcp,http,297,1285,8,8,8,255,normal
tcp,ldap,0,0,124,2,255,2,neptune
udp,domain_u,43,72,263,264,255,242,normal
tcp,finger,0,0,34,15,255,15,neptune
tcp,ftp_data,334,0,1,1,1,17,warezclient
icmp,eco_i,8,0,1,15,1,28,ipsweep
tcp,http,215,9399,16,23,79,255,normal
tcp,Z39_50,0,0,16,3,255,9,neptune
tcp,http,0,0,1,2,43,255,normal
udp,other,516,4,151,151,151,151,normal
tcp,private,0,0,1,1,19,1,ipsweep
tcp,bgp,0,0,115,7,255,7,neptune
tcp,private,0,0,130,10,255,7,neptune
tcp,time,0,0,236,15,255,15,neptune
udp,domain_u,44,44,3,5,101,98,normal
tcp,time,0,0,280,16,255,16,neptune
tcp,smtp,676,328,1,1,119,187,normal
tcp,http,334,455,7,9,115,255,normal
tcp,private,0,0,268,2,255,2,neptune
tcp,private,0,0,84,18,255,18,neptune
tcp,http,204,1596,24,24,49,255,normal
icmp,ecr_i,520,0,139,139,255,255,smurf
tcp,Z39_50,0,0,211,6,255,6,neptune
tcp,http,192,301,9,9,9,255,normal
icmp,eco_i,18,0,1,1,1,225,ipsweep
tcp,uucp,0,0,100,2,255,2,neptune
tcp,netbios_dgm,0,0,101,13,255,13,neptune
tcp,ftp,0,0,265,4,255,17,neptune
tcp,http,256,4486,1,1,255,250,normal
icmp,eco_i,64,0,1,1,1,1,normal
udp,domain_u,46,136,210,210,135,96,normal
tcp,private,0,0,54,17,255,17,neptune
tcp,http,220,253,16,24,16,255,normal
udp,domain_u,41,117,43,43,255,254,normal
tcp,http,248,2313,23,36,23,255,normal
tcp,ftp,1250,2451,1,1,237,65,warezclient
tcp,whois,0,0,248,20,255,20,neptune
udp,domain_u,44,70,127,127,255,224,normal
tcp,telnet,209,1824,1,1,129,12,normal
tcp,other,5891,0,13,1,83,1,normal
icmp,eco_i,8,0,1,39,1,255,ipsweep
tcp,http,276,1767,2,6,29,255,normal
tcp,http,231,2304,13,13,255,255,normal
tcp,http,0,0,251,12,255,12,neptune
tcp,http,312,422,11,15,255,255,normal
tcp,remote_job,1,0,2,2,255,2,portsweep
tcp,discard,0,0,222,18,255,18,neptune
udp,domain_u,29,0,2,2,114,44,normal
tcp,ftp_data,13239,0,4,4,100,63,normal
tcp,ftp_data,0,0,228,4,255,4,neptune
tcp,finger,8,223,1,1,178,8,normal
tcp,shell,0,0,129,22,255,22,neptune
udp,domain_u,44,79,255,255,255,255,normal
tcp,private,0,0,118,9,255,17,neptune
tcp,private,0,0,84,16,255,1,neptune
tcp,http,324,10647,2,2,11,14,normal
tcp,private,0,0,115,4,255,18,neptune
icmp,eco_i,18,0,1,1,1,33,ipsweep
